Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Logistic Regression - Weighted,0.800185156611634,0.5294399234083293,0.7799717912552891,0.6307385229540918,0.8699820902607401,0.7028910689927169
Logistic Regression - SMOTE,0.8035796944915908,0.5352112676056338,0.7771509167842031,0.6338797814207651,0.8691611227448119,0.7022561000430612
XGBoost - Normal,0.9381268322789693,0.9544235924932976,0.7531734837799718,0.841939298383918,0.9514537142303171,0.910141244960024
XGBoost - Weighted,0.9243943835827805,0.8426883308714919,0.8046544428772919,0.8232323232323232,0.9505619880618454,0.9104537110601769
XGBoost - SMOTE,0.9373553463971609,0.9575045207956601,0.7468265162200282,0.8391442155309033,0.9504842649749962,0.9098653531509812
